timestamp,building,staff,inperson,remote,other,total
2020-09-11,Austin Elementary,0,0.0,0.0,0,0
2020-09-11,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-11,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-11,Denton Creek Elementary,0,0.0,0.0,0,0
2020-09-11,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-11,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-11,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-11,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-11,Town Center Elementary,1,0.0,0.0,0,1
2020-09-11,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-11,Wilson Elementary,0,0.0,0.0,0,0
2020-09-11,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-11,Coppell Middle School North,0,0.0,1.0,0,1
2020-09-11,Coppell Middle School West,0,0.0,1.0,0,1
2020-09-11,Coppell High School,0,1.0,0.0,0,1
2020-09-11,CHS9,0,1.0,0.0,0,1
2020-09-11,New Tech High @ Coppell,1,0.0,0.0,0,1
2020-09-11,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-11,Vonita White Admin Building,0,,,0,0
2020-09-11,Brock Center,0,,,0,0
2020-09-11,Service Center,0,,,0,0
2020-09-11,Total,2,2,2,0,6
