timestamp,building,staff,inperson,remote,other,total
2020-09-13,Austin Elementary,0,0.0,0.0,0,0
2020-09-13,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-13,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-13,Denton Creek Elementary,0,0.0,0.0,0,0
2020-09-13,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-13,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-13,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-13,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-13,Town Center Elementary,1,0.0,0.0,0,1
2020-09-13,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-13,Wilson Elementary,0,0.0,0.0,0,0
2020-09-13,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-13,Coppell Middle School North,0,0.0,0.0,0,0
2020-09-13,Coppell Middle School West,0,0.0,1.0,0,1
2020-09-13,Coppell High School,0,1.0,0.0,0,1
2020-09-13,CHS9,0,0.0,0.0,0,0
2020-09-13,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-13,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-13,Vonita White Admin Building,0,,,0,0
2020-09-13,Brock Center,0,,,0,0
2020-09-13,Service Center,0,,,0,0
2020-09-13,Total,1,1,1,0,3
