timestamp,building,staff,inperson,remote,other,total
2020-09-19,Austin Elementary,0,0.0,0.0,0,0
2020-09-19,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-19,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-19,Denton Creek Elementary,0,1.0,0.0,0,1
2020-09-19,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-19,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-19,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-19,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-19,Town Center Elementary,0,0.0,0.0,0,0
2020-09-19,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-19,Wilson Elementary,0,0.0,0.0,0,0
2020-09-19,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-19,Coppell Middle School North,0,1.0,0.0,0,1
2020-09-19,Coppell Middle School West,0,0.0,0.0,0,0
2020-09-19,Coppell High School,2,4.0,0.0,0,6
2020-09-19,CHS9,0,0.0,0.0,0,0
2020-09-19,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-19,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-19,Vonita White Admin Building,0,,,0,0
2020-09-19,Brock Center,0,,,0,0
2020-09-19,Service Center,0,,,0,0
2020-09-19,Total,2,6,0,0,8
