timestamp,building,staff,inperson,remote,other,total
2020-09-18,Austin Elementary,0,0.0,0.0,0,0
2020-09-18,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-18,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-18,Denton Creek Elementary,0,1.0,0.0,0,1
2020-09-18,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-18,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-18,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-18,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-18,Town Center Elementary,0,0.0,0.0,0,0
2020-09-18,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-18,Wilson Elementary,0,0.0,0.0,0,0
2020-09-18,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-18,Coppell Middle School North,0,1.0,0.0,0,1
2020-09-18,Coppell Middle School West,0,0.0,0.0,0,0
2020-09-18,Coppell High School,2,4.0,0.0,0,6
2020-09-18,CHS9,0,0.0,0.0,0,0
2020-09-18,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-18,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-18,Vonita White Admin Building,0,,,0,0
2020-09-18,Brock Center,0,,,0,0
2020-09-18,Service Center,0,,,0,0
2020-09-18,Total,2,6,0,0,8
