timestamp,building,staff,inperson,remote,other,total
2020-09-12,Austin Elementary,0,0.0,0.0,0,0
2020-09-12,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-12,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-12,Denton Creek Elementary,0,0.0,0.0,0,0
2020-09-12,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-12,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-12,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-12,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-12,Town Center Elementary,1,0.0,0.0,0,1
2020-09-12,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-12,Wilson Elementary,0,0.0,0.0,0,0
2020-09-12,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-12,Coppell Middle School North,0,0.0,0.0,0,0
2020-09-12,Coppell Middle School West,0,0.0,1.0,0,1
2020-09-12,Coppell High School,0,1.0,0.0,0,1
2020-09-12,CHS9,0,0.0,0.0,0,0
2020-09-12,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-12,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-12,Vonita White Admin Building,0,,,0,0
2020-09-12,Brock Center,0,,,0,0
2020-09-12,Service Center,0,,,0,0
2020-09-12,Total,1,1,1,0,3
