timestamp,building,staff,inperson,remote,other,total
2020-09-08,Austin Elementary,0,0.0,0.0,0,0
2020-09-08,Canyon Ranch Elementary,0,0.0,0.0,0,0
2020-09-08,Cottonwood Creek Elementary,0,0.0,0.0,0,0
2020-09-08,Denton Creek Elementary,0,0.0,0.0,0,0
2020-09-08,Lakeside Elementary,0,0.0,0.0,0,0
2020-09-08,Richard J. Lee Elementary,0,0.0,0.0,0,0
2020-09-08,Mockingbird Elementary,0,0.0,0.0,0,0
2020-09-08,Pinkerton Elementary,0,0.0,0.0,0,0
2020-09-08,Town Center Elementary,0,0.0,0.0,0,0
2020-09-08,Valley Ranch Elementary,0,0.0,0.0,0,0
2020-09-08,Wilson Elementary,0,0.0,1.0,0,1
2020-09-08,Coppell Middle School East,0,0.0,0.0,0,0
2020-09-08,Coppell Middle School North,0,0.0,1.0,0,1
2020-09-08,Coppell Middle School West,0,0.0,0.0,0,0
2020-09-08,Coppell High School,0,1.0,0.0,0,1
2020-09-08,CHS9,0,1.0,0.0,0,1
2020-09-08,New Tech High @ Coppell,0,0.0,0.0,0,0
2020-09-08,Victory Place @ Coppell,0,0.0,0.0,0,0
2020-09-08,Vonita White Admin Building,0,,,0,0
2020-09-08,Brock Center,0,,,0,0
2020-09-08,Service Center,0,,,0,0
2020-09-08,Total,0,2,2,0,4
